number,title,state,created_at,closed_at,cycle_time_hours,labels,is_task_issue,task_subtype,cobbler_run_id,is_problem_report,is_recurring,target,body_length
5683,Recurring: Generate code from specifications (per-release),OPEN,2026-06-03T01:34:14+00:00,,,,False,,,False,True,,1571
5681,[measuring] generation-run44 task 0,CLOSED,2026-05-30T17:07:05+00:00,2026-05-30T17:13:08+00:00,0.1008,,False,,,False,False,,149
5680,"[stitch] pkg/format -- srd003-format R1, R2, R3",CLOSED,2026-05-30T16:49:31+00:00,2026-05-30T17:06:59+00:00,0.2911,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,pkg/format,2662
5679,"[stitch] pkg/testutils -- srd001-testutils R1, R2, R3, R4",CLOSED,2026-05-30T16:49:30+00:00,2026-05-30T17:02:34+00:00,0.2178,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,pkg/testutils,2442
5678,[stitch] pkg/format -- srd003-format (contract),CLOSED,2026-05-30T16:49:29+00:00,2026-05-30T16:55:24+00:00,0.0986,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,pkg/format,2049
5677,[stitch] pkg/testutils -- srd001-testutils (contract),CLOSED,2026-05-30T16:49:28+00:00,2026-05-30T16:52:32+00:00,0.0511,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,pkg/testutils,1910
5676,[measure] generation-run44 #5676,CLOSED,2026-05-30T16:44:23+00:00,2026-05-30T16:49:45+00:00,0.0894,cobbler-ready;cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5675,"[stitch] cmd/ptx -- srd111-ptx R5.1, R5.2",CLOSED,2026-05-30T16:32:35+00:00,2026-05-30T16:44:14+00:00,0.1942,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ptx,1699
5674,"[stitch] cmd/pr -- srd110-pr R5.1, R5.2",CLOSED,2026-05-30T16:32:34+00:00,2026-05-30T16:39:24+00:00,0.1139,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pr,1665
5673,[stitch] generation-run44 #5673,CLOSED,2026-05-30T16:29:57+00:00,2026-05-30T16:32:52+00:00,0.0486,cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,,149
5672,"[stitch] cmd/ptx -- srd111-ptx R4.1, R4.2",CLOSED,2026-05-30T15:42:15+00:00,2026-05-30T16:29:48+00:00,0.7925,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ptx,1272
5671,[stitch] cmd/ptx -- srd111-ptx R3.1,CLOSED,2026-05-30T15:42:14+00:00,2026-05-30T16:23:29+00:00,0.6875,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ptx,1240
5670,"[stitch] cmd/pr -- srd110-pr R4.1, R4.2, R4.3",CLOSED,2026-05-30T15:42:13+00:00,2026-05-30T16:20:29+00:00,0.6378,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pr,1373
5669,[stitch] cmd/pr -- srd110-pr R3.1,CLOSED,2026-05-30T15:42:12+00:00,2026-05-30T16:05:44+00:00,0.3922,cobbler-ready;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pr,1230
5668,[stitch] generation-run44 #5668,CLOSED,2026-05-30T15:35:44+00:00,2026-05-30T15:42:30+00:00,0.1128,cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,,149
5667,"[measure] cmd/ptx: implement srd111 R4.1, R4.2, R5.1, R5.2",CLOSED,2026-05-29T20:20:15+00:00,2026-05-30T15:35:33+00:00,19.255,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,cmd/ptx,2147
5666,[stitch] cmd/ptx: implement srd111 R3.1,CLOSED,2026-05-29T20:20:14+00:00,2026-05-30T15:35:32+00:00,19.255,cobbler-in-progress;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/ptx,1548
5665,"[measure] cmd/pr: implement srd110 R4.1, R4.2, R4.3, R5.1",CLOSED,2026-05-29T20:20:12+00:00,2026-05-30T15:35:30+00:00,19.255,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,cmd/pr,2132
5664,[stitch] cmd/pr: implement srd110 R3.1,CLOSED,2026-05-29T20:20:11+00:00,2026-05-30T15:35:29+00:00,19.255,cobbler-ready;cobbler-in-progress;cobbler-gen-generation-run44,True,stitch,generation-run44,False,False,cmd/pr,1538
5663,[measure] generation-run44 #5663,CLOSED,2026-05-29T20:14:09+00:00,2026-05-29T20:20:34+00:00,0.1069,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,,149
5662,"[measure] cmd/pr tests (srd110-pr R5.1, R5.2)",CLOSED,2026-05-29T17:32:37+00:00,2026-05-29T20:13:57+00:00,2.6889,cobbler-gen-generation-run44,True,measure,generation-run44,False,False,cmd/pr,1649
