number,title,state,merged,created_at,closed_at,merged_at,cycle_time_hours,base_ref,head_ref,additions,deletions,changed_files,labels,is_task_pr,task_id,target,is_generation_pr,is_recurring_pr
5682,"GH-5059: Generation run 44 — 107 utilities, 58K LOC",MERGED,True,2026-06-03T01:33:31+00:00,2026-06-03T01:33:39+00:00,2026-06-03T01:33:39+00:00,0.0022,main,generation-run44,5934773,10,3559,,False,,,True,False
5061,GH-4409: Upgrade cobbler-scaffold v0.20260406.0 → v0.20260513.0,MERGED,True,2026-05-13T21:08:20+00:00,2026-05-13T21:08:26+00:00,2026-05-13T21:08:26+00:00,0.0017,main,gh-4409-upgrade-scaffold,12,6,3,,False,,,False,False
5057,"GH-4996: post-run-43 cleanup, reset to specs-only",MERGED,True,2026-05-13T19:46:04+00:00,2026-05-13T19:46:11+00:00,2026-05-13T19:46:11+00:00,0.0019,main,gh-4996-cleanup,147,75548,247,,False,,,False,False
5056,GH-5029: tool-count proxy model,MERGED,True,2026-05-13T19:14:50+00:00,2026-05-13T19:14:57+00:00,2026-05-13T19:14:57+00:00,0.0019,main,gh-5029-tool-proxy,10523,0,13,,False,,,False,False
5055,GH-5028: GitHub workflow charts,MERGED,True,2026-05-13T19:07:50+00:00,2026-05-13T19:07:57+00:00,2026-05-13T19:07:57+00:00,0.0019,main,gh-5028-github-charts,11506,0,16,,False,,,False,False
5054,GH-5027: spec-aware difficulty charts (req complexity vs cost),MERGED,True,2026-05-12T20:42:56+00:00,2026-05-12T20:43:09+00:00,2026-05-12T20:43:08+00:00,0.0033,main,gh-5027-specs-difficulty,18264,0,16,,False,,,False,False
5053,"GH-5025: quality charts (test/prod ratio, missing tests)",MERGED,True,2026-05-09T02:37:35+00:00,2026-05-09T02:37:41+00:00,2026-05-09T02:37:41+00:00,0.0017,main,gh-5025-quality-charts,32770,0,14,,False,,,False,False
5052,"GH-5023: economics charts (cost trends, cache, per-utility, per-release)",MERGED,True,2026-05-08T22:26:00+00:00,2026-05-08T22:26:09+00:00,2026-05-08T22:26:09+00:00,0.0025,main,gh-5023-economics-charts,19958,0,16,,False,,,False,False
5051,GH-5022: extract per-requirement spec metadata into specs.csv,MERGED,True,2026-05-08T21:14:45+00:00,2026-05-08T21:14:53+00:00,2026-05-08T21:14:53+00:00,0.0022,main,gh-5022-extract-specs,1990,0,2,,False,,,False,False
5050,GH-5021: extract GitHub issues and PRs into issues.csv and prs.csv,MERGED,True,2026-05-08T21:06:11+00:00,2026-05-08T21:06:24+00:00,2026-05-08T21:06:24+00:00,0.0036,main,gh-5021-extract-github,5291,0,3,,False,,,False,False
5049,"GH-5048: total cost pie chart (run-43, calibrated to recorded cost)",MERGED,True,2026-05-08T20:15:43+00:00,2026-05-08T20:15:50+00:00,2026-05-08T20:15:50+00:00,0.0019,main,gh-5048-cost-pie,1651,0,4,,False,,,False,False
5047,GH-5046: percent-share labels on cost_by_phase segments,MERGED,True,2026-05-08T20:04:41+00:00,2026-05-08T20:04:49+00:00,2026-05-08T20:04:49+00:00,0.0022,main,gh-5046-cost-percent-labels,166,73,3,,False,,,False,False
5045,GH-5044: first-pass success and cost-by-phase charts (build/test/lint),MERGED,True,2026-05-08T18:58:25+00:00,2026-05-08T18:58:33+00:00,2026-05-08T18:58:33+00:00,0.0022,main,gh-5044-build-test-lint-charts,4001,1,9,,False,,,False,False
5043,GH-5042: pass@k charts (failure-to-one-shot rate),MERGED,True,2026-05-08T18:34:12+00:00,2026-05-08T18:34:24+00:00,2026-05-08T18:34:23+00:00,0.0031,main,gh-5042-pass-at-k,3551,1,6,,False,,,False,False
5041,GH-5026: deep tool-call charts from run-43 and recovered transcripts,MERGED,True,2026-05-08T18:18:02+00:00,2026-05-08T18:18:15+00:00,2026-05-08T18:18:15+00:00,0.0036,main,gh-5026-tool-call-charts,22647,0,16,,False,,,False,False
5040,GH-5039: add task_cost_pdf chart,MERGED,True,2026-05-08T18:09:44+00:00,2026-05-08T18:09:54+00:00,2026-05-08T18:09:54+00:00,0.0028,main,gh-5039-cost-pdf,2137,0,4,,False,,,False,False
5038,GH-5037: tease out real retries from stitch logs (and add task duration PDF),MERGED,True,2026-05-08T18:04:28+00:00,2026-05-08T18:04:40+00:00,2026-05-08T18:04:40+00:00,0.0033,main,gh-5037-real-retries,9191,6858,18,,False,,,False,False
5036,"GH-5024: analysis waste charts (zero-LOC, retries, timeouts, abandonment, rate-limit)",MERGED,True,2026-05-08T17:47:08+00:00,2026-05-08T17:47:18+00:00,2026-05-08T17:47:18+00:00,0.0028,main,gh-5024-waste-charts,21732,0,18,,False,,,False,False
5035,GH-5034: refine bash_command_class — pipeline-aware classification,MERGED,True,2026-05-08T17:36:59+00:00,2026-05-08T17:37:08+00:00,2026-05-08T17:37:08+00:00,0.0025,main,gh-5034-bash-classifier,599,527,2,,False,,,False,False
5033,GH-5020: analysis recover Feb-Mar transcripts and extract per-tool-call data,MERGED,True,2026-05-08T17:25:59+00:00,2026-05-08T17:26:07+00:00,2026-05-08T17:26:07+00:00,0.0022,main,gh-5020-analysis-transcripts,1139818,0,1419,,False,,,False,False
5032,GH-5019: analysis derive task_attempts.csv and utilities.csv,MERGED,True,2026-05-08T16:52:13+00:00,2026-05-08T16:52:22+00:00,2026-05-08T16:52:21+00:00,0.0022,main,gh-5019-analysis-derived,2481,0,3,,False,,,False,False
5031,GH-5018: analysis extract per-run aggregates and report metadata,MERGED,True,2026-05-08T16:43:42+00:00,2026-05-08T16:43:50+00:00,2026-05-08T16:43:50+00:00,0.0022,main,gh-5018-analysis-runs,942,0,4,,False,,,False,False
5030,GH-5017: analysis setup workspace and extract per-task commit data into tasks.csv,MERGED,True,2026-05-08T16:31:15+00:00,2026-05-08T16:31:24+00:00,2026-05-08T16:31:24+00:00,0.0025,main,gh-5017-analysis-tasks-csv,99895,0,117,,False,,,False,False
4995,GH-4407: Post-generation repository cleanup (run 42),MERGED,True,2026-04-12T02:07:35+00:00,2026-04-12T02:07:46+00:00,2026-04-12T02:07:46+00:00,0.0031,main,gh-4407-cleanup,36,3,1,,False,,,False,False
4993,GH-4209: Generation run 42 — scaffold v0.20260406.0 validation,MERGED,True,2026-04-12T01:49:37+00:00,2026-04-12T01:49:47+00:00,2026-04-12T01:49:47+00:00,0.0028,main,generation-gh-4209-run42,56601,58041,283,,False,,,True,False
