run_id,start_at,end_at,end_state,wall_clock_hours,task_count,unique_task_ids,retry_count,stitch_count,measure_count,total_cost_usd,total_tokens_input,total_tokens_output,total_tokens_cache_creation,total_tokens_cache_read,total_loc_prod_delta,total_loc_test_delta,total_duration_s,zero_loc_count,zero_loc_cost_usd,unique_targets
2026-02-24-21-51-42,2026-02-25T02:49:35+00:00,2026-02-25T02:53:53+00:00,merged,0.07,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-24-21-54-16,2026-02-25T02:53:53+00:00,2026-02-25T02:57:41+00:00,merged,0.06,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-24-22-31-14,2026-02-25T03:23:04+00:00,2026-02-25T03:34:06+00:00,merged,0.18,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-24-22-35-08,2026-02-25T03:34:06+00:00,2026-02-25T03:40:20+00:00,merged,0.1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-24-23-22-23,2026-02-25T04:21:41+00:00,2026-02-25T04:25:18+00:00,merged,0.06,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-24-23-25-22,2026-02-25T04:25:18+00:00,2026-02-25T04:28:30+00:00,merged,0.05,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-25-07-08-59,2026-02-25T04:31:32+00:00,2026-02-25T12:46:48+00:00,merged,8.25,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-25-07-46-59,2026-02-25T12:46:48+00:00,2026-02-25T13:43:18+00:00,merged,0.94,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-25-08-44-27,2026-02-25T13:44:10+00:00,2026-02-25T14:01:34+00:00,merged,0.29,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-26-21-54-45,2026-02-27T02:54:18+00:00,2026-02-27T03:51:26+00:00,merged,0.95,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-27-15-12-51,2026-02-27T20:12:48+00:00,2026-02-27T21:35:17+00:00,abandoned,1.37,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-27-21-48-32,2026-02-28T02:48:27+00:00,2026-02-28T02:48:27+00:00,abandoned,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-28-11-34-52,2026-02-28T16:34:42+00:00,2026-02-28T16:34:42+00:00,abandoned,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-28-11-56-07,2026-02-28T16:55:36+00:00,2026-02-28T18:24:16+00:00,abandoned,1.48,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-28-13-42-29,2026-02-28T18:42:25+00:00,2026-02-28T18:51:39+00:00,merged,0.15,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-02-28-13-52-17,2026-02-28T18:52:06+00:00,2026-02-28T19:03:19+00:00,merged,0.19,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-03-01-22-12-28,2026-03-02T03:06:07+00:00,2026-03-02T11:32:52+00:00,merged,8.45,1,1,0,1,0,0.9164,477642,15084,45433,432199,0,0,232,1,0.9164,1
2026-03-02-08-43-36,2026-03-02T12:30:59+00:00,2026-03-02T15:17:11+00:00,merged,2.77,9,9,0,9,0,7.3444,4902434,104069,394182,4506780,-5478,-2792,2072,1,1.3779,4
2026-03-02-10-55-24,2026-03-02T15:19:33+00:00,2026-03-02T20:01:31+00:00,merged,4.7,26,25,1,26,0,26.4042,20273440,335982,1338488,18930193,-25875,-25483,6107,2,2.46,8
2026-03-02-13-22-04,2026-03-02T18:21:52+00:00,2026-03-02T20:06:10+00:00,merged,1.74,16,15,1,16,0,16.0815,12266366,206960,811665,11451507,-18467,-18649,3736,1,1.2768,6
2026-03-02-17-51-58,2026-03-02T22:50:15+00:00,2026-03-02T22:50:15+00:00,abandoned,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
2026-03-02-17-54-58,2026-03-02T22:54:38+00:00,2026-03-03T03:59:15+00:00,merged,5.08,13,13,0,13,0,21.328400000000002,14712791,357273,866817,13843769,-17862,-10349,5902,1,2.7854,8
gh-168-generation-run-12,2026-03-03T15:30:39+00:00,2026-03-03T19:13:21+00:00,merged,3.71,24,22,2,24,0,23.838299999999997,17173914,303158,1295142,15874744,-35170,-39561,5322,1,0.6795,10
gh-206-generation-run-13,2026-03-03T20:07:25+00:00,2026-03-03T20:07:25+00:00,abandoned,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
