task_id,git_commit_count,final_target,final_srd_id,total_cost_usd,total_duration_s,total_tokens_input,productive_commits,zero_loc_commits,git_wasted_cost_proxy,first_commit_at,last_commit_at,span_hours
78,1,pkg/testutils,,0.9164,232,477642,0,1,0.9164,2026-03-02T03:20:42+00:00,2026-03-02T03:20:42+00:00,0.0
86,1,pkg/testutils,,1.3779,409,794673,0,1,1.3779,2026-03-02T14:01:50+00:00,2026-03-02T14:01:50+00:00,0.0
87,1,pkg/format,,1.3298,444,772723,0,1,1.3298,2026-03-02T14:13:51+00:00,2026-03-02T14:13:51+00:00,0.0
88,1,pkg/sys,,0.7179,162,480869,0,1,0.7179,2026-03-02T14:19:27+00:00,2026-03-02T14:19:27+00:00,0.0
89,1,pkg/format,srd003,0.6589,149,513972,0,1,0.6589,2026-03-02T14:29:04+00:00,2026-03-02T14:29:04+00:00,0.0
90,1,pkg/sys,srd002,0.3568,113,219662,0,1,0.3568,2026-03-02T14:34:07+00:00,2026-03-02T14:34:07+00:00,0.0
91,1,pkg/testutils,srd001,0.5877,320,423545,0,1,0.5877,2026-03-02T14:44:27+00:00,2026-03-02T14:44:27+00:00,0.0
92,1,pkg/format,srd003,0.7943,151,584630,0,1,0.7943,2026-03-02T15:00:08+00:00,2026-03-02T15:00:08+00:00,0.0
93,1,cmd/version,srd011,0.7292,87,689110,0,1,0.7292,2026-03-02T15:04:02+00:00,2026-03-02T15:04:02+00:00,0.0
94,1,pkg/sys,srd002,0.7919,237,423250,0,1,0.7919,2026-03-02T15:10:09+00:00,2026-03-02T15:10:09+00:00,0.0
98,1,pkg/format,,1.1832,205,1368224,0,1,1.1832,2026-03-02T16:07:43+00:00,2026-03-02T16:07:43+00:00,0.0
99,1,pkg/sys,srd002,0.812,192,625924,0,1,0.812,2026-03-02T16:15:58+00:00,2026-03-02T16:15:58+00:00,0.0
100,1,pkg/testutils,,0.6509,112,535542,0,1,0.6509,2026-03-02T16:21:09+00:00,2026-03-02T16:21:09+00:00,0.0
101,1,pkg/testutils,srd001,1.9422,524,1079198,0,1,1.9422,2026-03-02T16:31:49+00:00,2026-03-02T16:31:49+00:00,0.0
102,1,pkg/format,srd003,0.736,116,512172,0,1,0.736,2026-03-02T16:36:06+00:00,2026-03-02T16:36:06+00:00,0.0
103,1,pkg/sys,srd002,0.5822,85,466824,0,1,0.5822,2026-03-02T16:39:28+00:00,2026-03-02T16:39:28+00:00,0.0
104,1,cmd/magefiles,srd011,0.8323,92,845073,0,1,0.8323,2026-03-02T16:42:57+00:00,2026-03-02T16:42:57+00:00,0.0
105,1,cmd/magefiles,srd011,0.4275,103,167459,0,1,0.4275,2026-03-02T16:46:27+00:00,2026-03-02T16:46:27+00:00,0.0
115,1,cmd/wc,,2.1262,709,1294613,0,1,2.1262,2026-03-02T18:10:27+00:00,2026-03-02T18:10:27+00:00,0.0
117,1,cmd/wc,srd005,1.0302,233,1112045,0,1,1.0302,2026-03-02T18:17:08+00:00,2026-03-02T18:17:08+00:00,0.0
118,1,cmd/cat,,1.4174,364,1009519,0,1,1.4174,2026-03-02T18:27:12+00:00,2026-03-02T18:27:12+00:00,0.0
119,1,pkg/format,,1.2768,461,545747,0,1,1.2768,2026-03-02T18:39:13+00:00,2026-03-02T18:39:13+00:00,0.0
120,1,cmd/cat,srd006,0.7618,134,612000,0,1,0.7618,2026-03-02T18:31:10+00:00,2026-03-02T18:31:10+00:00,0.0
121,1,pkg/format,,0.8761,209,773825,0,1,0.8761,2026-03-02T18:50:59+00:00,2026-03-02T18:50:59+00:00,0.0
122,1,cmd/sponge,,1.3673,328,1000664,0,1,1.3673,2026-03-02T18:41:36+00:00,2026-03-02T18:41:36+00:00,0.0
123,1,pkg/sys,,1.3516,337,1065534,0,1,1.3516,2026-03-02T19:05:40+00:00,2026-03-02T19:05:40+00:00,0.0
124,1,cmd/sponge,srd007,1.4359,373,730417,0,1,1.4359,2026-03-02T18:50:30+00:00,2026-03-02T18:50:30+00:00,0.0
