task_id,task_id_kind,invocation_count,status_history,successful_invocations,productive_invocations,total_cost_usd,wasted_cost_usd,total_duration_s,total_num_turns,first_started_at,last_started_at,span_hours
100,numeric,1,success,1,1,0.650917,0.0,113,0,2026-03-02T16:19:16Z,2026-03-02T16:19:16Z,0.0
101,numeric,1,success,1,1,1.942245,0.0,524,0,2026-03-02T16:23:05Z,2026-03-02T16:23:05Z,0.0
102,numeric,1,success,1,1,0.735973,0.0,117,0,2026-03-02T16:34:09Z,2026-03-02T16:34:09Z,0.0
103,numeric,1,success,1,1,0.582205,0.0,86,0,2026-03-02T16:38:02Z,2026-03-02T16:38:02Z,0.0
104,numeric,1,success,1,1,0.832322,0.0,92,0,2026-03-02T16:41:24Z,2026-03-02T16:41:24Z,0.0
105,numeric,1,success,1,1,0.427477,0.0,103,0,2026-03-02T16:44:44Z,2026-03-02T16:44:44Z,0.0
115,numeric,1,success,1,1,2.126174,0.0,709,0,2026-03-02T17:58:38Z,2026-03-02T17:58:38Z,0.0
117,numeric,1,success,1,1,1.030241,0.0,234,0,2026-03-02T18:13:15Z,2026-03-02T18:13:15Z,0.0
118,numeric,1,success,1,1,1.417427,0.0,365,0,2026-03-02T18:21:07Z,2026-03-02T18:21:07Z,0.0
119,numeric,1,success,1,1,1.276806,0.0,461,0,2026-03-02T18:31:32Z,2026-03-02T18:31:32Z,0.0
120,numeric,1,success,1,1,0.761773,0.0,135,0,2026-03-02T18:28:55Z,2026-03-02T18:28:55Z,0.0
121,numeric,1,success,1,0,0.876097,0.876097,209,0,2026-03-02T18:47:30Z,2026-03-02T18:47:30Z,0.0
122,numeric,1,success,1,1,1.367306,0.0,329,0,2026-03-02T18:36:07Z,2026-03-02T18:36:07Z,0.0
123,numeric,1,success,1,1,1.35156,0.0,337,0,2026-03-02T19:00:02Z,2026-03-02T19:00:02Z,0.0
124,numeric,1,success,1,1,1.435895,0.0,373,0,2026-03-02T18:44:17Z,2026-03-02T18:44:17Z,0.0
125,numeric,1,success,1,0,0.471669,0.471669,85,0,2026-03-02T19:11:28Z,2026-03-02T19:11:28Z,0.0
126,numeric,2,failed;success,1,1,1.577104,0.0,1323,0,2026-03-02T18:55:48Z,2026-03-02T19:16:54Z,0.35
127,numeric,1,success,1,1,0.929552,0.0,228,0,2026-03-02T19:19:10Z,2026-03-02T19:19:10Z,0.0
128,numeric,1,success,1,1,0.678949,0.0,115,0,2026-03-02T19:29:43Z,2026-03-02T19:29:43Z,0.0
129,numeric,1,success,1,0,0.360772,0.360772,49,0,2026-03-02T19:36:53Z,2026-03-02T19:36:53Z,0.0
130,numeric,1,success,1,0,0.640521,0.640521,177,0,2026-03-02T19:43:31Z,2026-03-02T19:43:31Z,0.0
131,numeric,1,success,1,1,0.85945,0.0,157,0,2026-03-02T19:50:27Z,2026-03-02T19:50:27Z,0.0
132,numeric,1,success,1,1,0.962016,0.0,187,0,2026-03-02T19:25:41Z,2026-03-02T19:25:41Z,0.0
134,numeric,1,success,1,1,0.885873,0.0,138,0,2026-03-02T19:31:15Z,2026-03-02T19:31:15Z,0.0
137,numeric,1,success,1,0,0.869197,0.869197,152,0,2026-03-02T19:38:44Z,2026-03-02T19:38:44Z,0.0
183,numeric,1,success,1,1,0.679492,0.0,140,0,2026-03-03T15:48:53Z,2026-03-03T15:48:53Z,0.0
184,numeric,1,success,1,1,2.05719,0.0,675,0,2026-03-03T15:55:02Z,2026-03-03T15:55:02Z,0.0
185,numeric,1,success,1,1,1.034611,0.0,273,0,2026-03-03T16:11:39Z,2026-03-03T16:11:39Z,0.0
