target,target_kind,srd_id,total_runs_touched,total_tasks,total_attempts,unique_task_ids,total_cost_usd,cost_variance_per_run,final_loc_prod,final_loc_test,mean_duration_s,p95_duration_s,zero_loc_count
cmd/arch,cmd,srd045,6,11,11,11,10.6178,0.971412,4156,3418,96.18,208.5,0
cmd/b2sum,cmd,srd076,3,15,15,15,21.3122,0.682071,20811,18812,192.4,313.0,0
cmd/base32,cmd,srd079,3,8,8,8,10.8288,0.895283,28502,21827,254.88,478.5,0
cmd/base64,cmd,srd080,3,11,11,11,14.0914,0.871873,21643,19775,150.09,252.5,0
cmd/basename,cmd,srd015,8,25,25,25,24.811,2.14029,2095,1296,127.2,252.6,0
cmd/basenc,cmd,srd081,3,11,11,11,17.5292,0.602709,21932,19906,287.0,624.0,0
cmd/cat,cmd,srd006,18,73,73,69,75.7587,2.70258,1397,190,190.01,483.8,4
cmd/chgrp,cmd,srd090,3,13,13,13,25.1079,0.938769,24291,21264,320.54,888.4,0
cmd/chmod,cmd,srd089,3,17,17,16,27.3233,0.941035,23913,20671,271.12,557.6,1
cmd/chown,cmd,srd091,3,12,12,11,22.5097,0.965416,24752,21863,340.75,797.1,1
cmd/chronic,cmd,srd112,3,8,8,8,13.112,0.473595,30570,24420,323.12,583.35,0
cmd/chroot,cmd,srd100,3,9,9,8,9.2828,0.438099,26910,23072,119.89,197.8,2
cmd/cksum,cmd,srd077,3,10,10,10,13.9885,0.761724,21166,19368,254.0,542.65,0
cmd/comm,cmd,srd029,9,31,31,30,48.0405,1.543111,8713,7529,257.84,555.5,1
cmd/cp,cmd,srd056,5,27,27,24,49.9804,2.74889,13738,12980,403.96,890.0,3
cmd/csplit,cmd,srd068,4,20,20,20,40.8727,1.124339,17555,16812,508.35,972.4,0
cmd/cut,cmd,srd026,10,30,30,30,38.6359,2.426593,8024,6463,202.37,444.5,0
cmd/date,cmd,srd060,4,19,19,19,29.9451,0.701259,14647,14034,273.68,600.4,0
cmd/df,cmd,srd106,3,20,20,20,45.9564,3.968303,29757,23936,493.4,1042.35,0
cmd/dir,cmd,srd107,3,12,12,12,29.9646,1.127611,28971,23836,525.33,992.25,0
cmd/dircolors,cmd,srd109,3,16,16,16,31.5388,0.303451,30481,24358,365.69,657.0,0
cmd/dirname,cmd,srd016,7,22,22,20,19.0057,1.511463,2306,1544,99.27,192.8,2
cmd/du,cmd,srd009,16,56,56,54,83.875,2.244429,2523,1677,324.62,739.5,2
